ID,LABEL,Parent,definition,PMID,has microbe depleted in diseased host,has microbe expanded in diseased host,term editor,microbe label,Rank,Localization,No.
OHMI:0000705,expansion of Oscillibacter valericigenes sjm18-20 in gut of MDD patient compared to healthy human,bacterial change in gut of MDD patient compared to healthy human,Oscillibacter valericigenes sjm18-20 up-regulated in gut of MDD patient compared to healthy human,PMID:30927646,,http://purl.obolibrary.org/obo/NCBITaxon_693746,Haihe Wang|Jie Zheng|Yongqun He,Oscillibacter valericigenes sjm18-20,species,Gut,28
OHMI:0000706,expansion of Prevotella denticola F0289 in gut of MDD patient compared to healthy human,bacterial change in gut of MDD patient compared to healthy human,Prevotella denticola F0289 up-regulated in gut of MDD patient compared to healthy human,PMID:30927646,,http://purl.obolibrary.org/obo/NCBITaxon_767031,Haihe Wang|Jie Zheng|Yongqun He,Prevotella denticola F0289,species,Gut,29
OHMI:0000707,expansion of Megasphaera elsdenii DSM20460 in gut of MDD patient compared to healthy human,bacterial change in gut of MDD patient compared to healthy human,Megasphaera elsdenii DSM20460 up-regulated in gut of MDD patient compared to healthy human,PMID:30927646,,http://purl.obolibrary.org/obo/NCBITaxon_1064535,Haihe Wang|Jie Zheng|Yongqun He,Megasphaera elsdenii DSM20460,species,Gut,30
OHMI:0000708,expansion of Escherichia coli in gut of MDD patient compared to healthy human,bacterial change in gut of MDD patient compared to healthy human,Escherichia coli up-regulated in gut of MDD patient compared to healthy human,PMID:30927646|PMID:39719433,,http://purl.obolibrary.org/obo/NCBITaxon_562,Haihe Wang|Jie Zheng|Yongqun He,Escherichia coli,species,Gut,31
OHMI:0000709,expansion of Bacteroides uniformis in gut of MDD patient compared to healthy human,bacterial change in gut of MDD patient compared to healthy human,Bacteroides uniformis up-regulated in gut of MDD patient compared to healthy human,PMID:34093266,,http://purl.obolibrary.org/obo/NCBITaxon_820,Haihe Wang|Jie Zheng|Yongqun He,Bacteroides uniformis,species,Gut,32
OHMI:0000710,expansion of Selenomonas ruminantium in gut of MDD patient compared to healthy human,bacterial change in gut of MDD patient compared to healthy human,Selenomonas ruminantium up-regulated in gut of MDD patient compared to healthy human,PMID:30927646,,http://purl.obolibrary.org/obo/NCBITaxon_971,Haihe Wang|Jie Zheng|Yongqun He,Selenomonas ruminantium,species,Gut,33
OHMI:0000711,expansion of Bifidobacterium breve in gut of MDD patient compared to healthy human,bacterial change in gut of MDD patient compared to healthy human,Bifidobacterium breve up-regulated in gut of MDD patient compared to healthy human,PMID:31685046,,http://purl.obolibrary.org/obo/NCBITaxon_1685,Haihe Wang|Jie Zheng|Yongqun He, Bifidobacterium breve,species,Gut,34
OHMI:0000712,expansion of Bifidobacterium dentium in gut of MDD patient compared to healthy human,bacterial change in gut of MDD patient compared to healthy human,Bifidobacterium dentium up-regulated in gut of MDD patient compared to healthy human,PMID:31685046,,http://purl.obolibrary.org/obo/NCBITaxon_1689,Haihe Wang|Jie Zheng|Yongqun He,Bifidobacterium dentium,species,Gut,35
OHMI:0000713,expansion of Ruminococcus torques in gut of MDD patient compared to healthy human,bacterial change in gut of MDD patient compared to healthy human,Ruminococcus torques up-regulated in gut of MDD patient compared to healthy human,PMID:40717539,,http://purl.obolibrary.org/obo/NCBITaxon_33039,Haihe Wang|Jie Zheng|Yongqun He,Ruminococcus torques,species,Gut,36
OHMI:0000714,expansion of Pseudoflavonifractor capillosus in gut of MDD patient compared to healthy human,bacterial change in gut of MDD patient compared to healthy human,Pseudoflavonifractor capillosus up-regulated in gut of MDD patient compared to healthy human,PMID:32867257,,http://purl.obolibrary.org/obo/NCBITaxon_106588,Haihe Wang|Jie Zheng|Yongqun He,Pseudoflavonifractor capillosus,species,Gut,37
OHMI:0000715,expansion of Enterocloster citroniae  in gut of MDD patient compared to healthy human,bacterial change in gut of MDD patient compared to healthy human,Enterocloster citroniae up-regulated in gut of MDD patient compared to healthy human,PMID:32867257,,http://purl.obolibrary.org/obo/NCBITaxon_358743,Haihe Wang|Jie Zheng|Yongqun He,Enterocloster citroniae ,species,Gut,38
OHMI:0000716,expansion of Flintibacter butyricus in gut of MDD patient compared to healthy human,bacterial change in gut of MDD patient compared to healthy human,Flintibacter butyricus up-regulated in gut of MDD patient compared to healthy human,PMID:32867257,,http://purl.obolibrary.org/obo/NCBITaxon_1417852,Haihe Wang|Jie Zheng|Yongqun He,Flintibacter butyricus,species,Gut,39
OHMI:0000717,expansion of Eisenbergiella massiliensis in gut of MDD patient compared to healthy human,bacterial change in gut of MDD patient compared to healthy human,Eisenbergiella massiliensis up-regulated in gut of MDD patient compared to healthy human,PMID:32867257,,http://purl.obolibrary.org/obo/NCBITaxon_1720294,Haihe Wang|Jie Zheng|Yongqun He,Eisenbergiella massiliensis,species,Gut,40
OHMI:0000718,expansion of Fenollaria timonensis in gut of MDD patient compared to healthy human,bacterial change in gut of MDD patient compared to healthy human,Fenollaria timonensis up-regulated in gut of MDD patient compared to healthy human,PMID:32867257,,http://purl.obolibrary.org/obo/NCBITaxon_1723384,Haihe Wang|Jie Zheng|Yongqun He,Fenollaria timonensis,species,Gut,41
OHMI:0000719,expansion of Christensenella timonensis in gut of MDD patient compared to healthy human,bacterial change in gut of MDD patient compared to healthy human,Christensenella timonensis up-regulated in gut of MDD patient compared to healthy human,PMID:32867257,,http://purl.obolibrary.org/obo/NCBITaxon_1816678,Haihe Wang|Jie Zheng|Yongqun He,Christensenella timonensis,species,Gut,42
OHMI:0000720,expansion of Escherichia in gut of MDD patient compared to healthy human,bacterial change in gut of MDD patient compared to healthy human,Escherichia up-regulated in gut of MDD patient compared to healthy human,PMID:30927646|PMID:34093266|PMID:39013880,,http://purl.obolibrary.org/obo/NCBITaxon_561,Haihe Wang|Jie Zheng|Yongqun He,Escherichia,genus ,Gut,43
OHMI:0000721,expansion of Klebsiella in gut of MDD patient compared to healthy human,bacterial change in gut of MDD patient compared to healthy human,Klebsiella up-regulated in gut of MDD patient compared to healthy human,PMID:30927646,,http://purl.obolibrary.org/obo/NCBITaxon_570,Haihe Wang|Jie Zheng|Yongqun He,Klebsiella,genus ,Gut,44
